Fecha ;PM10;PM2.5;NO;NO2;NOX;SO2;CO;OZONO;VelViento;DirViento;Temperatura;HR;PresiBaro;RadSolar;Precipitacion;BC 
1/01/2024 1:00;17,1;0;1,8;6,3;8,1;0,6;0,28;5,2;1,2;232;13,6;86,9;0;0;0;1,3
1/01/2024 2:00;24,3;0;2;6,4;8,4;0,7;0,27;5,3;1,6;288;12,8;86,17;0;0;0;1,7
1/01/2024 3:00;19,5;0;4,7;7,5;12,2;0,5;0,32;1;0,9;344;12;88,06;0;0;0;1,6
1/01/2024 4:00;28,4;0;2,1;6,9;8,9;0,5;0,26;2,5;1,4;128;12,7;88,48;0;0;0;1,9
1/01/2024 5:00;26,5;0;3,7;8,8;12,5;0,6;0,39;1,5;1;156;12,7;86,68;0;0;0;2,7
1/01/2024 6:00;36,2;0;3;7,1;10,1;0,4;0,3;2,7;0,3;149;11,6;86,11;0;0;0;2,1
1/01/2024 7:00;25,9;0;7,4;6,4;13,8;0,4;0,38;1,4;0,1;168;11,3;88,22;0;39;0;2,5
1/01/2024 8:00;30,1;0;8,1;6,9;15;0,6;0,41;9,8;1,2;319;17,6;64,96;0;231;0;2,7
1/01/2024 9:00;32,1;0;6,7;9,1;15,8;0,9;0,4;21,6;1,7;279;20,4;51,3;0;417;0;3,2
1/01/2024 10:00;25,1;0;3,4;8,9;12,3;0,8;0,3;29,5;0,9;48;20,6;50,15;0;478;0;2,5
1/01/2024 11:00;27,5;0;1,1;3,1;4,2;0,6;0,13;25,5;1,1;60;20,7;48,41;0;532;0;0,8
1/01/2024 12:00;28,2;0;0,8;1,6;2,4;0,6;0,1;24,4;1,3;87;21,4;45,3;0;574;0;0,4
1/01/2024 13:00;26,5;0;0,6;1,1;1,6;0,6;0,1;25,5;1,8;63;21,7;44,97;0;602;0;0,5
1/01/2024 14:00;22,3;0;0,5;1,2;1,7;0,6;0,1;27;0,9;43;22,5;40,68;0;401;0;0,4
1/01/2024 15:00;21,5;0;0,6;2,5;3,1;0,9;0,16;41;3,1;306;22,1;47,43;0;351;0;0,9
1/01/2024 16:00;16,1;0;0,8;3,9;4,7;1,3;0,24;47,5;4,8;303;20,3;59,13;0;366;0;1,4
1/01/2024 17:00;22,4;0;0,7;3,9;4,7;1,2;0,21;36,6;3,9;286;18,6;64,24;0;172;0;1,1
1/01/2024 18:00;16,8;0;0,6;5,4;6;1,2;0,25;30,7;3,7;295;16,6;71,01;0;31;0;1,1
1/01/2024 19:00;28,3;0;0,4;8,4;8,9;1,1;0,29;22,2;1,5;267;15,2;78,15;0;0;0;1,3
1/01/2024 20:00;21,9;20,6;0,6;10;10,6;1,1;0,36;16,9;2,1;290;14,9;79,73;0;0;0;2,1
1/01/2024 21:00;22,7;0;1,2;12,5;13,7;1,1;0,36;7,3;1;344;14;85,16;0;0;0;1,6
1/01/2024 22:00;18,1;15,4;1,8;13,6;15,5;0,9;0,38;3,1;0,4;300;12,9;87,46;0;0;0;1,6
1/01/2024 23:00;26,4;26,4;2,5;14,2;16,7;0,8;0,38;1,5;0,9;243;12,6;89,45;0;0;0;1,5
2/01/2024 0:00;25,2;15,6;4,1;12,8;16,9;0,8;0,36;0,7;0,9;270;12,6;88,88;0;0;0;1,6
2/01/2024 1:00;30,1;11,5;12,2;12,8;25;0,9;0,5;0,6;1,4;344;12,6;89,04;0;0;0;2,4
2/01/2024 2:00;24,3;13;9,1;10,6;19,7;0,8;0,38;0,6;0,4;250;11,8;89,43;0;0;0;2,2
2/01/2024 3:00;27,3;27,3;5,3;10,1;15,4;0,7;0,31;0,4;0,5;196;11,3;90,02;0;0;0;1,9
2/01/2024 4:00;16,2;14,2;6,2;9,6;15,8;0,6;0,28;0,4;0,7;263;10,2;84,95;0;0;0;2
2/01/2024 5:00;19,6;10,9;8,8;7,6;16,4;0,5;0,26;0,6;0,4;6;9,5;89,05;0;0;0;2
2/01/2024 6:00;19,9;12,6;17,5;7,4;24,9;0,4;0,3;0,7;1,2;232;9,2;90,18;0;0;0;2,6
2/01/2024 7:00;23;8,2;42,9;7,3;50,1;0,6;0,68;1,1;0,4;50;9,5;91,35;0;35;0;5,4
2/01/2024 8:00;19,1;5,4;63,5;13,5;77;0,9;1,38;2,8;1,3;342;14,2;84,55;0;198;0;5,4
2/01/2024 9:00;56,9;8,4;10,2;9,9;20,1;0,9;0,38;15,4;1,3;25;17,9;57,99;0;299;0;2,7
2/01/2024 10:00;40,1;5,5;4,4;6,6;11;0,8;0,24;21,7;1,7;285;19,5;48,26;0;460;0;1,4
2/01/2024 11:00;40,6;3,8;3,5;5,3;8,8;0,8;0,23;29,3;1,3;329;21,7;42,53;0;714;0;1,6
2/01/2024 12:00;29,8;2,5;2,8;6,7;9,4;0,9;0,27;39,4;1,7;281;23;39,25;0;684;0;2
2/01/2024 13:00;28,7;1,8;1,9;6,8;8,8;1;0,25;45,1;0,7;271;23,2;38,47;0;727;0;1,8
2/01/2024 14:00;25,9;15,2;1,7;7,8;9,5;1,5;0,27;53,5;4,1;299;22,1;48,09;0;519;0;2,9
2/01/2024 15:00;30,6;20;1,3;7;8,3;1,6;0,26;57,8;5,1;299;20,5;55,77;0;398;0;2,7
2/01/2024 16:00;26,3;16,2;1,1;7,3;8,4;1,6;0,25;53,5;4,4;293;19,5;58,85;0;280;0;2,6
2/01/2024 17:00;36,6;11,6;1;8,1;9,1;1,6;0,26;43,4;3,9;299;18;64,13;0;120;0;2,4
2/01/2024 18:00;37,6;11,9;0,7;10,8;11,5;1,5;0,33;35,3;3;296;16,5;68,81;0;25;0;2,6
2/01/2024 19:00;33,9;17,9;0,3;14;14,3;1,5;0,39;33,3;2,8;304;15,6;70,57;0;0;0;2,9
2/01/2024 20:00;35,9;25;0,4;11,9;12,3;1,3;0,31;25,7;1,3;324;14,1;76,9;0;0;0;2,4
2/01/2024 21:00;40,6;22,6;1,7;21,7;23,4;1,1;0,48;5,5;0,9;266;13;85,04;0;0;0;3,4
2/01/2024 22:00;34,9;17,6;8,7;23,2;31,9;1,3;0,63;0,9;1,2;323;13,2;85,89;0;0;0;4,3
2/01/2024 23:00;34,1;14,8;7,5;23,4;30,9;1,5;0,41;1,5;1,7;308;13,2;79,53;0;0;0;3,1
3/01/2024 0:00;33,9;12,9;2,9;14,6;17,4;1,1;0,28;6,5;0,7;360;12,9;83,35;0;0;0;1,9
3/01/2024 1:00;31;18,1;1,7;11,5;13,2;0,8;0,3;6;1,1;291;12,2;85,17;0;0;0;1,7
3/01/2024 2:00;28,6;13,1;1,7;9,3;11;0,8;0,27;6,9;0,8;287;12,6;85,81;0;0;0;1,6
3/01/2024 3:00;30,6;9,8;1,1;9,4;10,4;0,8;0,23;8,3;1,5;295;12,5;85,59;0;0;0;1,5
3/01/2024 4:00;26,5;10,6;1,5;7,7;9,1;0,7;0,22;6,2;1,3;359;11,8;86,23;0;0;0;1,2
3/01/2024 5:00;26,9;8,2;11,4;13,8;25,2;0,8;0,36;0,4;1,1;326;11,7;85,97;0;0;0;3,4
3/01/2024 6:00;26,2;6,9;24,6;11,5;36,1;0,8;0,5;0,7;0,9;349;10,9;83,4;0;0;0;4,8
3/01/2024 7:00;28,9;16,6;57,4;12,3;69,7;1;0,95;1;1,1;296;10,9;78,27;0;32;0;8,7
3/01/2024 8:00;31,5;21,8;74,6;19,7;94,3;2,4;1,54;2,7;1,5;309;15,4;72,75;0;207;0;15,1
3/01/2024 9:00;59,7;25;38,1;25,4;63,6;4,3;1,16;10,2;1,6;345;19,3;55,54;0;380;0;10,8
3/01/2024 10:00;62,1;27,1;18,3;20,3;38,6;3,3;0,74;20,7;1,8;297;20,3;51,7;0;596;0;5,9
3/01/2024 11:00;56,4;23,6;7;12,1;19,1;1,5;0,4;28,3;1,9;339;21,4;44,53;0;475;0;3,3
3/01/2024 12:00;40;18;4;9,6;13,6;1,2;0,34;37;1,8;301;22;41,19;0;517;0;2,6
3/01/2024 13:00;36;13,7;1,6;5,3;6,9;1;0,24;44,8;1,9;295;23,3;35,58;0;675;0;1,8
3/01/2024 14:00;27,6;19,3;1,2;7,3;8,4;1,6;0,31;52,9;4,1;300;19,7;56,02;0;201;0;2,7
3/01/2024 15:00;37,6;20;1;7,1;8,2;1,6;0,29;56,3;4,7;296;20;56,14;0;310;0;2,4
3/01/2024 16:00;34,5;15;0,9;7,5;8,4;1,4;0,28;50;4;306;18,5;61,51;0;164;0;2,2
3/01/2024 17:00;44,7;12,6;1,2;7,6;8,7;1,5;0,3;48,1;4,3;292;19;60,23;0;269;0;2,3
3/01/2024 18:00;42,7;15,4;0,8;9,7;10,5;2;0,36;34,7;3,8;290;17,5;66,42;0;76;0;2,2
3/01/2024 19:00;30,8;15,7;0,6;13,3;14;2,7;0,43;22,9;3,2;294;15,9;72,75;0;0;0;2,4
3/01/2024 20:00;34,9;16,8;0,8;10,3;11,1;1,5;0,32;13,3;2;293;14,7;71,76;0;0;0;1,7
3/01/2024 21:00;30,7;11,7;1,4;12,3;13,8;1,1;0,33;5,5;1,4;237;12,8;77,44;0;0;0;1,7
3/01/2024 22:00;21,8;8,7;6,3;16,5;22,9;1,1;0,45;1;1,4;274;12,1;78,01;0;0;0;2,5
3/01/2024 23:00;21,1;9;13,5;16,7;30,2;1;0,54;0,9;0,4;355;10,8;77,91;0;0;0;2,8
4/01/2024 0:00;23,2;7,3;17,8;13,5;31,3;0,9;0,55;0,8;0,3;350;9,9;78,17;0;0;0;3,5
4/01/2024 1:00;17,4;11,8;33,6;15,1;48,7;0,9;0,74;0,6;1;254;9,6;87,88;0;0;0;5,5
