Fecha;PM10;PM2.5;NO;NO2;NOX;SO2;CO;OZONO;VelViento;DirViento;Temperatura;HR;PresionBaro;RadSolar;Precipitacion;BC
1/01/2024 1:00;37,1;26,2;20,9;24,5;45,3;1,6;0,78;0;0,2;245;13,9;0;565;0;0;0
1/01/2024 2:00;37,9;19;15,7;23,2;38,9;1,5;0,72;0,2;0,2;251;13,4;0;564;0;0;0
1/01/2024 3:00;43,8;33,8;17;20,7;37,7;1,5;0,75;0,2;0,1;223;13;0;564;0;0;0
1/01/2024 4:00;48,7;42,6;22,4;19,8;42,1;1,6;0,79;0,1;0,1;241;13,3;0;564;0;0;0
1/01/2024 5:00;67,6;46,1;15,8;19,5;35,3;1,4;0,67;0,4;0,3;246;13,2;0;564;0;0,1;0
1/01/2024 6:00;54,6;43,1;10,7;18,1;28,8;1,4;0,58;1,1;0,5;297;13,2;0;564;0;0;0
1/01/2024 7:00;46,3;36,6;8,9;16,1;25;1,3;0,55;1,3;0,3;299;12,7;0;565;51;0;0
1/01/2024 8:00;40,3;39,3;9,1;16,4;25,5;1,2;0,49;4,7;0,7;333;14,7;0;565;245;0;0
1/01/2024 9:00;32,9;27,9;5,9;17,3;23,2;1,1;0,41;9,2;0,8;36;17;0;565;459;0;0
1/01/2024 10:00;23,8;19,8;4,4;16,5;20,9;1,2;0,38;11,3;1,1;22;17,8;0;565;421;0;0
1/01/2024 11:00;17,9;14;3,4;16,5;20;1,2;0,34;10,5;1,4;88;17,9;0;565;317;0;0
1/01/2024 12:00;13,4;9,8;3,1;16,5;19,5;1,1;0,33;11;1,1;29;19,3;0;565;533;0;0
1/01/2024 13:00;10,9;6,9;2,6;16,9;19,5;1,2;0,33;13;1,2;329;20,9;0;564;790;0;0
1/01/2024 14:00;9;4,9;2,5;17,7;20,1;1,1;0,34;15,1;1;305;22,2;0;564;732;0;0
1/01/2024 15:00;7,6;3,5;2,5;18,1;20,6;1,2;0,34;14;0,9;7;21,4;0;563;318;0;0
1/01/2024 16:00;9,4;2,6;2,1;18,5;20,7;1,2;0,36;19,9;2,4;255;20,7;0;563;417;0;0
1/01/2024 17:00;17,9;2;1,1;18,6;19,6;1,2;0,35;21,6;2;244;18,9;0;563;127;0;0
1/01/2024 18:00;12,4;1,5;0,9;19,8;20,7;1,3;0,36;17,8;1,4;251;17,2;0;563;16;0;0
