Fecha;PM10;PM2.5;NO;NO2;NOX;SO2;CO;OZONO;VelViento;DirViento;Temperatura;HR;PresionBaro;RadSolar;Precipitacion;BC
1/01/2024 1:00;30,6;16,7;3,6;16,1;19,7;0,9;0,49;5,8;1,1;318;14,5;94;565;0;0;0
1/01/2024 2:00;42;29,2;2,7;13,4;16,1;0,8;0,48;6;0,5;251;14,4;94;565;0;0;0
1/01/2024 3:00;56;44,3;5,9;15,5;21,4;0,6;0,65;1,9;0,6;144;13,9;93;564;0;0;0
1/01/2024 4:00;55;48,9;7,5;15,9;23,4;0,6;0,61;3,2;0,9;172;14,3;86;564;0;0;0
1/01/2024 5:00;51,9;51,9;1,3;12,3;13,6;0,4;0,42;5,8;0,6;197;14,2;84;564;0;0;0
1/01/2024 6:00;51,2;45,3;6,2;15,3;21,5;0,2;0,65;1,5;0,4;194;13,4;90;565;0;0;0
1/01/2024 7:00;50,8;38,8;23,2;14,7;37,9;0,3;0,94;2;0,6;163;13,3;90;565;40;0;0
1/01/2024 8:00;54,3;49,2;16,4;14;30,4;0,5;0,61;8,6;0,8;250;15,4;76;565;229;0;0
1/01/2024 9:00;41,8;35,9;2,3;5,2;7,5;1;0,24;19,2;0,9;242;17,5;61;565;446;0;0
1/01/2024 10:00;30,9;26,5;1,2;4,6;5,8;0,8;0,27;27,3;1,2;334;18,6;54;566;627;0;0
1/01/2024 11:00;22,2;19,9;1;4,5;5,5;0,3;0,25;28,7;1,6;89;20;48;565;667;0;0
1/01/2024 12:00;26;15,5;1,6;6,8;8,4;0,5;0,3;34,8;1,6;314;19,6;51;565;283;0;0
1/01/2024 13:00;21,2;20,8;0,9;5,4;6,4;0,5;0,28;37,4;1,4;310;21,1;48;565;814;0;0
1/01/2024 14:00;23,1;23,1;0,8;7,3;8,1;0,9;0,36;49,6;2,5;324;21,2;53;564;464;0;0
1/01/2024 15:00;20;16,4;2,1;9,8;11,8;1,7;0,46;51,7;3,7;296;21;59;563;540;0;0
1/01/2024 16:00;30,5;13,4;2,2;9,6;11,8;1,6;0,48;36,5;4;293;19,7;70;563;310;0;0
1/01/2024 17:00;31,7;28,8;1,7;7,8;9,6;1,3;0,41;29,5;3,3;298;18,3;77;563;181;0;0
1/01/2024 18:00;30,9;20,8;1,4;10,5;11,8;1,3;0,44;24,4;2,9;300;17;84;563;27;0;0
1/01/2024 19:00;34,7;18,2;1;13,9;14,9;1;0,47;19,9;2,2;301;16,1;89;564;0;0;0
1/01/2024 20:00;32,8;28,3;1,2;18,2;19,4;0,9;0,54;12,5;1,4;313;15,6;93;564;0;0;0
1/01/2024 21:00;33,1;20,2;1,5;22,5;24;1,2;0,62;7,8;0,7;311;15,6;92;565;0;0;0
1/01/2024 22:00;36,8;34,8;2,2;24,9;27,1;1,8;0,65;5,3;0,6;296;15,7;90;565;0;0;0
1/01/2024 23:00;33,3;26,3;6,5;27,4;33,9;2,1;0,75;2,9;1;296;15,6;90;565;0;0;0
2/01/2024 0:00;37,5;19,7;10,2;23,1;33,2;3;0,68;1,8;0,8;251;15,6;85;565;0;0;0
2/01/2024 1:00;47,4;21,7;3,1;15,2;18,2;1,3;0,36;4,2;0,6;243;14,7;80;565;0;0;0
2/01/2024 2:00;33,4;16,6;5,6;15,4;21,1;1,8;0,28;2,7;0,7;249;13,9;80;564;0;0;0
2/01/2024 3:00;23,7;14,7;7,7;15,3;22,9;1,7;0,27;2,2;0,7;241;13;82;564;0;0;0
