Fecha;PM10;PM2.5;NO;NO2;NOX;SO2;CO;OZONO;VelViento;DirViento;Temperatura;HR;PresionBaro;RadSolar;Precipitacion;BC
1/01/2024 1:00;25,4;0;8;14;22;0,7;0,74;0,6;0,4;358;13,6;0;0;0;0;0
1/01/2024 2:00;27,2;0;8,9;14,6;23,5;0,7;0,71;0,7;0,3;275;13,2;0;0;0;0;0
1/01/2024 3:00;38,8;28;7;11;17,9;0,6;0,57;1,4;0,3;24;12,5;0;0;0;0;0
1/01/2024 4:00;41;41;10,6;11,7;22,3;0,7;0,63;0,7;0,4;6;12,7;0;0;0;0;0
1/01/2024 5:00;44,2;38;11;12,7;23,7;0,6;0,66;0,7;1;35;12,7;0;0;0;0;0
1/01/2024 6:00;39,9;39;8,3;12,2;20,5;0,6;0,62;0,9;1;354;12,6;0;0;0;0;0
1/01/2024 7:00;0;44;14,3;11,3;25,6;0,7;0,68;0,9;0,7;48;12,3;0;0;0;0;0
1/01/2024 8:00;42;42;10,1;9,5;19,6;1,2;0,58;4,5;1,3;11;13,8;0;0;0;0;0
1/01/2024 9:00;36,8;23;3,6;8,7;12,3;1,1;0,42;10,4;1,4;357;17;0;0;0;0;0
1/01/2024 10:00;27,9;6;1,6;7,5;9;0,7;0,32;14;1,3;47;20,1;0;0;0;0;0
1/01/2024 11:00;32,9;7;1,6;7,2;8,7;0,6;0,31;14,5;1,9;74;20,1;0;0;0;0;0
1/01/2024 12:00;23,7;8;1,6;7;8,7;0,6;0,29;14,6;1,7;53;20,9;0;0;0;0;0
1/01/2024 13:00;28,5;11;1;6,6;7,6;0,6;0,27;17,2;1,3;16;22,9;0;0;0;0;0
1/01/2024 14:00;21,4;8;0,7;6,6;7,3;0,6;0,26;19,1;1,2;336;25;0;0;0;0;0
1/01/2024 15:00;15,3;8;0,6;6,3;6,9;0,6;0,25;18,8;1,1;336;24,5;0;0;0;0;0
1/01/2024 16:00;0;19;0,5;6,7;7,2;0,7;0,31;24,4;2,4;242;22,9;0;0;0;0;0
1/01/2024 17:00;0;25;0,4;7,6;8;0,8;0,36;25,9;2,4;228;20,5;0;0;0;0;0
1/01/2024 18:00;17;17;0,3;8;8,3;0,8;0,36;22,7;1,9;246;17,3;0;0;0;0;0
1/01/2024 19:00;23,4;22;0,3;8,1;8,4;0,8;0,38;17,2;1,3;236;15,2;0;0;0;0;0
1/01/2024 20:00;22,9;14;0,4;8,3;8,7;0,8;0,38;13,1;1,5;228;14,5;0;0;0;0;0
1/01/2024 21:00;18,1;16;0,5;9,8;10,3;0,7;0,4;10,6;0,8;236;14;0;0;0;0;0
1/01/2024 22:00;20,8;13;0,7;9,5;10,2;0,7;0,39;7,7;0,4;302;13;0;0;0;0;0
1/01/2024 23:00;20,6;17;10,1;13,1;23,1;0,7;0,52;4,2;0,1;246;12,7;0;0;0;0;0
