Fecha;PM10;PM2.5;NO;NO2;NOX;SO2;CO;OZONO;Vel Viento;Dir Viento;Temperatura;HR;Presion Baro;Rad Solar;Precipitacion;BC 
1/01/2024 1:00;107;86;9,8;11,8;21,5;1,9;1,06;8,7;1,3;326;0;77,8;564;0;0;5,1
1/01/2024 2:00;57;48;4,3;7,1;11,4;1,6;0,81;11;0,6;326;0;76,1;564;0;0;3,7
1/01/2024 3:00;67;49;9,6;10,2;19,8;1,2;1,03;5;0,4;325;0;74,9;564;0;0;6,8
1/01/2024 4:00;47;35;6,5;9,2;15,7;1,6;0,88;5;0,4;112;0;75,7;564;0;0;4,2
1/01/2024 5:00;40;35;4,5;7;11,4;1,6;0,77;7,7;0,8;121;0;73;564;0;0;4,4
1/01/2024 6:00;44;26;7,8;9,9;17,6;2,7;0,81;5,6;0,4;115;0;73,1;564;0;0;3,5
1/01/2024 7:00;67;38;40,7;12;52,7;2,3;1,34;3,9;0,5;117;0;79,9;564;18;0;7,3
1/01/2024 8:00;42;25;15,9;6,8;22,7;3,2;0,79;8,6;1;106;0;68,6;565;169;0;3,1
1/01/2024 9:00;14;12;4,6;0,9;5,4;1;0,57;16,8;0,6;121;0;49,2;565;366;0;1,1
1/01/2024 10:00;20;17;5;2;7,1;0,9;0,59;23,4;0,6;25;0;43,8;565;313;0;1,1
1/01/2024 11:00;16;8;3,3;0,5;3,7;0,8;0,58;25,8;0,9;125;0;43,1;565;346;0;1,1
1/01/2024 12:00;12;10;4,2;0,8;5;0,5;0,6;25,7;0,1;107;0;40,5;564;404;0;1,1
1/01/2024 13:00;28;14;4,6;3;7,6;0,7;0,67;33,9;1,1;221;0;40,7;564;675;0;1,5
1/01/2024 14:00;44;24;3,8;5,2;9,1;1,4;0,76;52,1;2,5;237;0;44,1;563;623;0;2,2
1/01/2024 15:00;48;33;5,6;6,6;12,2;2,3;0,87;47,4;3,4;235;0;49;563;393;0;2,3
1/01/2024 16:00;39;28;5,9;4,1;10;2,3;0,82;31,2;4;225;0;55,1;562;276;0;1,9
1/01/2024 17:00;42;32;6,4;5,8;12,2;2,4;0,9;25,8;3,1;252;0;62,1;562;149;0;2,2
1/01/2024 18:00;50;29;7,1;9;16,1;2;1,02;20,7;2,5;255;0;67,9;563;17;0;2,3
1/01/2024 19:00;50;29;8,1;11,3;19,4;2,3;1,05;15,5;2,1;261;0;73,3;563;0;0;2,5
1/01/2024 20:00;61;31;12,8;14,5;27,4;2,2;1,18;11,2;1,2;297;0;75,3;564;0;0;2,9
1/01/2024 21:00;60;29;15;20,5;35,6;2,2;1,31;5,2;0,8;298;0;77,1;564;0;0;5,2
1/01/2024 22:00;77;40;33,4;20;53,4;2,6;1,55;3,7;0,4;291;0;75,8;565;0;0;5,6
1/01/2024 23:00;75;38;30,8;18,7;49,5;2,5;1,46;3,4;0,4;291;0;77,3;565;0;0;6,1
2/01/2024 0:00;33;19;7,9;9,6;17,6;1,3;0,77;4,1;0,6;115;0;75;564;0;0;2,6
2/01/2024 1:00;29;14;8,5;8,8;17,3;1,3;0,72;3,4;0,5;135;0;72,7;564;0;0;2
2/01/2024 2:00;26;19;5,6;7,9;13,5;1,5;0,61;3,8;0,7;136;0;73,5;563;0;0;1,8
2/01/2024 3:00;23;14;6,1;7,5;13,6;1,5;0,58;3,3;0,6;119;0;73,5;563;0;0;1,8
2/01/2024 4:00;24;14;7,6;7,3;14,9;1,2;0,56;2,7;0,7;130;0;73,4;563;0;0;1,8
2/01/2024 5:00;21;10;9,6;7,3;16,9;1,1;0,57;3;1;122;0;72,3;563;0;0;1,9
2/01/2024 6:00;25;10;24;8,7;32,8;1,9;0,72;2,6;0,7;109;0;72,1;564;0;0;2,9
2/01/2024 7:00;32;14;29,8;9,9;39,7;2,4;0,91;2,9;0,6;140;0;75,2;564;23;0;3,7
2/01/2024 8:00;27;19;19,6;7,6;27,2;1,9;0,84;6,6;1,2;125;0;66,6;564;161;0;3,6
2/01/2024 9:00;37;24;15;6,7;21,7;1,2;0,85;14,6;0,5;3;0;53,6;565;301;0;3
2/01/2024 10:00;25;18;10,1;8;18,1;1,1;0,8;21,5;0,4;162;0;46;565;515;0;2,9
2/01/2024 11:00;16;14;6,5;3,3;9,7;1,3;0,63;22,9;1,4;193;0;39,6;564;646;0;1,9
2/01/2024 12:00;17;11;4,8;2;6,7;1,5;0,58;26,9;1,2;203;0;34,5;564;593;0;1,2
2/01/2024 13:00;46;22;6,5;7,4;13,9;1,6;0,78;39,2;2,5;237;0;39,1;563;606;0;3,5
2/01/2024 14:00;60;32;6,8;10,7;17,5;2,3;0,89;51,2;3,3;237;0;46,5;563;443;0;4,2
2/01/2024 15:00;69;31;7,7;11,6;19,3;2,7;0,95;47,5;3,5;231;0;50,5;562;370;0;4,5
2/01/2024 16:00;57;33;8,7;9,2;17,9;2,4;0,93;34,8;3,4;243;0;56,2;562;241;0;3,6
2/01/2024 17:00;52;27;8,3;10,9;19,3;2,3;0,98;28,4;3,1;254;0;64,9;562;100;0;4,9
2/01/2024 18:00;60;27;10,9;15,7;26,6;2,5;1,12;22,7;2,4;251;0;68,2;563;15;0;5,3
2/01/2024 19:00;70;34;15,9;23,2;39,1;2;1,49;12,7;1,4;272;0;73;563;0;0;6,8
2/01/2024 20:00;66;32;21,2;27,8;49;2,8;1,46;6,8;1,3;262;0;74,5;563;0;0;7,7
2/01/2024 21:00;66;34;15,9;25,6;41,5;3,3;1,26;9,2;1,6;242;0;74,5;564;0;0;6,1
2/01/2024 22:00;57;30;10,7;23;33,7;4;1,05;11,9;0,6;248;0;74,5;564;0;0;4,3
2/01/2024 23:00;61;31;12,5;24,3;36,8;3,8;1,13;11;1,2;264;0;72,7;564;0;0;6,4
